Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,SDTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR,RelTime_ORT_LR
DRESSEL Caeleb,Men's 50m Freestyle,1327,1267,1267,1292,1302,1287,18.02775638,-0.031080031,0.015540016,1,1,0
MANAUDOU Florent,Men's 50m Freestyle,1327,1267,1315,1325,1313,1317.666667,6.429100507,-0.007083228,0.038451809,1,1,0
GKOLOMEEV Kristian,Men's 50m Freestyle,1327,1267,1332,1326,1320,1326,6,-0.000754148,0.044494721,0,1,0
FRATUS Bruno,Men's 50m Freestyle,1327,1267,1317,1327,1320,1321.333333,5.131601439,-0.004288597,0.041120081,1,1,0
de BOER Thom,Men's 50m Freestyle,1327,1267,1339,1335,1338,1337.333333,2.081665999,0.00772682,0.052592223,0,0,0
ZAZZERI Lorenzo,Men's 50m Freestyle,1327,1267,1338,1346,1335,1339.666667,5.686240703,0.009455088,0.054242349,0,0,0
ANDREW Michael,Men's 50m Freestyle,1327,1267,1320,1349,1327,1332,15.13274595,0.003753754,0.048798799,0,0,0
PROUD Benjamin,Men's 50m Freestyle,1327,1267,1332,1353,1327,1337.333333,13.79613472,0.00772682,0.052592223,0,0,0
McKEON Emma,Women's 50m Freestyle,1522,1461,1461,1442,1440,1447.666667,11.59022577,-0.051346995,-0.009210223,1,1,1
BLUME Pernille,Women's 50m Freestyle,1522,1461,1461,1452,1448,1453.666667,6.658328118,-0.047007567,-0.005044715,1,1,1
CAMPBELL Cate,Women's 50m Freestyle,1522,1461,1476,1455,1467,1466,10.53565375,-0.038199181,0.003410641,0,1,0
SJOESTROEM Sarah,Women's 50m Freestyle,1522,1461,1447,1466,1453,1455.333333,9.712534856,-0.04580852,-0.003893724,1,1,1
WASICK Katarzyna,Women's 50m Freestyle,1522,1461,1472,1471,1466,1469.666667,3.214550254,-0.035608982,0.005897029,0,1,0
WEITZEIL Abbey,Women's 50m Freestyle,1522,1461,1481,1477,1459,1472.333333,11.71893055,-0.033733303,0.007697532,0,1,0
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1522,1461,1470,1481,1469,1473.333333,6.658328118,-0.033031674,0.008371041,0,1,0
WU Qingfeng,Women's 50m Freestyle,1522,1461,1472,1495,1472,1479.666667,13.27905619,-0.028610047,0.012615454,0,1,0
POPOVICI David,Men's 100m Freestyle,2938,2822,2884,2883,2892,2886.333333,4.932882862,-0.01790045,0.022288948,0,1,0
NEMETH Nandor,Men's 100m Freestyle,2938,2822,2890,2891,2901,2894,6.08276253,-0.01520387,0.02487906,0,1,0
DRESSEL Caeleb,Men's 100m Freestyle,2938,2822,2822,2893,2843,2852.666667,36.47373484,-0.029913531,0.010750175,1,1,0
CHALMERS Kyle,Men's 100m Freestyle,2938,2822,2828,2897,2900,2875,40.73082371,-0.021913043,0.018434783,1,1,0
MIRESSI Alessandro,Men's 100m Freestyle,2938,2822,2906,2903,2872,2893.666667,18.82374387,-0.015320816,0.024766732,0,1,0
GROUSSET Maxime,Men's 100m Freestyle,2938,2822,2892,2905,2902,2899.666667,6.806859286,-0.01321991,0.026784688,0,1,0
KOLESNIKOV Kliment,Men's 100m Freestyle,2938,2822,2864,2909,2831,2868,39.1535439,-0.024407252,0.016039052,1,1,0
