Name,Event,Final,Heat,Semi,RoundsCompare,Time
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,Semis vs Finals,0.016505761
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,Heats vs Finals,0.013741412
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,Semis vs Finals,0.009209273
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,Heats vs Finals,0.004784689
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,Semis vs Finals,0.001590331
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,Heats vs Finals,0.019675203
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,Semis vs Finals,0.015009381
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,Heats vs Finals,0.005995582
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,Semis vs Finals,0.013378967
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,Heats vs Finals,0.005956113
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,Semis vs Finals,-0.004081633
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,Heats vs Finals,0.008372093
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,Semis vs Finals,-9.39E-04
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,Heats vs Finals,0.005595275
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,Semis vs Finals,-0.0046875
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,Heats vs Finals,0.009855251
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,Semis vs Finals,0.008635005
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,Heats vs Finals,0.017769003
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,Semis vs Finals,0.007588255
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,Heats vs Finals,0.017635532
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,Semis vs Finals,6.50E-04
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,Heats vs Finals,0.003242542
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,Semis vs Finals,-0.005535656
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,Heats vs Finals,-0.009150327
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,Semis vs Finals,-0.002594034
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,Heats vs Finals,0.001614466
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,Semis vs Finals,-0.006510417
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,Heats vs Finals,0.002258793
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,Semis vs Finals,0.006796117
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,Heats vs Finals,0.006474587
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,Semis vs Finals,-0.014024788
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,Heats vs Finals,-0.006800518
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,Semis vs Finals,0.007464829
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,Heats vs Finals,0.005466053
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,Semis vs Finals,0.005430123
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,Heats vs Finals,0.005714286
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,Semis vs Finals,-0.001425314
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,Heats vs Finals,0.009864713
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,Semis vs Finals,0.004191115
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,Heats vs Finals,-0.00621118
WILBY James,Men's 100m Breaststroke,3576,3579,3540,Semis vs Finals,-0.010169492
WILBY James,Men's 100m Breaststroke,3576,3579,3540,Heats vs Finals,8.38E-04
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,Semis vs Finals,-0.007601351
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,Heats vs Finals,-0.006751055
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,Semis vs Finals,-0.005902192
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,Heats vs Finals,-0.010160881
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,Semis vs Finals,-0.00789177
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,Heats vs Finals,-8.40E-04
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,Semis vs Finals,0.007386563
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,Heats vs Finals,0.024541998
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,Semis vs Finals,0.024827586
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,Heats vs Finals,0.023817742
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,Semis vs Finals,-0.011656658
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,Heats vs Finals,0.015469233
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,Semis vs Finals,0.003445899
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,Heats vs Finals,0.004475043
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,Semis vs Finals,-0.009040334
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,Heats vs Finals,0.005142269
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,Semis vs Finals,-0.01183844
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,Heats vs Finals,-0.001033414
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,Semis vs Finals,0.002766252
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,Heats vs Finals,-3.47E-04
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,Semis vs Finals,0.003791796
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,Heats vs Finals,3.46E-04
RYLOV Evgeny,Men's 200m Backstroke,113.27,116.02,114.45,Semis vs Finals,0.010310179
RYLOV Evgeny,Men's 200m Backstroke,113.27,116.02,114.45,Heats vs Finals,0.02370281
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,Semis vs Finals,0.010660426
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,Heats vs Finals,0.023691413
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,Semis vs Finals,0.002261263
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,Heats vs Finals,-7.85E-04
MEFFORD Bryce,Men's 200m Backstroke,115.49,116.37,116.37,Semis vs Finals,0.007562086
